Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS
34,32.66350217,130.1664732,270,32.855922,130.263991,32.824483,129.998184,32.632013,129.90141,32.471254,130.069468,32.502572,130.334021,32.694769,130.431765,2
35,32.08569483,129.8769832,0,32.278653,129.972973,32.246539,129.709386,32.053533,129.614128,31.892907,129.781495,31.924899,130.04385,32.117638,130.140067,2
36,31.50625667,129.5920088,0,31.699762,129.686505,31.666979,129.425104,31.473429,129.331331,31.312919,129.498003,31.34558,129.758193,31.538871,129.852917,2
37,34.60690283,131.4382748,0,34.797364,131.541922,34.768806,131.268258,34.578285,131.16539,34.416621,131.335185,34.44506,131.607514,34.635281,131.71138,0
38,34.03502583,131.1306592,67,34.225996,131.232647,34.196738,130.961311,34.005711,130.860091,33.844233,131.029216,33.873371,131.299241,34.064106,131.401449,0
39,33.4616045,130.827946,484,33.653093,130.928313,33.623142,130.65927,33.431599,130.559661,33.270291,130.728112,33.300122,130.995866,33.49138,131.096454,0
40,32.88661167,130.5300253,0,33.078627,130.628806,33.04799,130.362025,32.855922,130.263991,32.694769,130.431765,32.725286,130.697281,32.917076,130.796284,0
41,32.31002,130.2367895,0,32.502572,130.334021,32.471254,130.069468,32.278653,129.972973,32.117638,130.140067,32.148836,130.403377,32.341167,130.500831,0
42,31.73180133,129.9481347,0,31.924899,130.04385,31.892907,129.781495,31.699762,129.686505,31.538871,129.852917,31.570744,130.114051,31.763625,130.20999,0
43,26.44971333,127.5405563,0,26.64818,127.624032,26.610333,127.380102,26.411836,127.297266,26.251393,127.45749,26.289124,127.700373,26.487414,127.784075,0
44,34.8251585,131.8158067,0,35.015215,131.920799,34.987483,131.646131,34.797364,131.541922,34.635281,131.71138,34.662897,131.984701,34.852711,132.089907,1
45,34.2544945,131.5042053,645,34.44506,131.607514,34.416621,131.335185,34.225996,131.232647,34.064106,131.401449,34.092428,131.672457,34.282756,131.77598,1
46,33.68228833,131.1975777,0,33.873371,131.299241,33.844233,131.029216,33.653093,130.928313,33.49138,131.096454,33.520401,131.365181,33.711252,131.467061,1
47,33.108513,130.895811,870,33.300122,130.995866,33.270291,130.728112,33.078627,130.628806,32.917076,130.796284,32.94679,131.062762,33.138172,131.163036,1
48,32.53314167,130.5987977,-1,32.725286,130.697281,32.694769,130.431765,32.502572,130.334021,32.341167,130.500831,32.371567,130.765093,32.563489,130.863795,1
49,31.95614683,130.306431,216,32.148836,130.403377,32.117638,130.140067,31.924899,130.04385,31.763625,130.20999,31.794706,130.472068,31.987177,130.569234,1
50,31.37750017,130.018609,0,31.570744,130.114051,31.538871,129.852917,31.34558,129.758193,31.184422,129.923661,31.216177,130.183585,31.409207,130.279247,1
51,26.6853075,127.8681895,0,26.883347,127.952719,26.846251,127.70792,26.64818,127.624032,26.487414,127.784075,26.524396,128.027819,26.722257,128.112572,1
52,26.0904365,127.6170802,0,26.289124,127.700373,26.251393,127.45749,26.052675,127.37483,25.891892,127.534194,25.929511,127.776039,26.128024,127.859555,1
53,36.1765525,132.8425282,0,36.365212,132.952411,36.33976,132.671944,36.151029,132.562871,35.988076,132.733246,36.013417,133.012305,36.201821,133.122392,2
54,35.04218283,132.1956815,0,35.231834,132.30203,35.204931,132.026361,35.015215,131.920799,34.852711,132.089907,34.8795,132.364218,35.068906,132.470774,2
55,34.47273817,131.8800603,313,34.662897,131.984701,34.635281,131.71138,34.44506,131.607514,34.282756,131.77598,34.310258,132.047968,34.500177,132.152819,2
56,33.90175267,131.5694848,0,34.092428,131.672457,34.064106,131.401449,33.873371,131.299241,33.711252,131.467061,33.739459,131.736759,33.9299,131.839942,2
57,33.32920033,131.2638403,679,33.520401,131.365181,33.49138,131.096454,33.300122,130.995866,33.138172,131.163036,33.167078,131.430476,33.358049,131.532029,2
58,32.75505433,130.963017,631,32.94679,131.062762,32.917076,130.796284,32.725286,130.697281,32.563489,130.863795,32.593087,131.12901,32.784598,131.22897,2
59,32.179288,130.6669075,472,32.371567,130.765093,32.341167,130.500831,32.148836,130.403377,31.987177,130.569234,32.017461,130.832254,32.20952,130.930656,2
