Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS,GW Site
26,40.54224267,-123.5401147,1142.0,40.747717,-123.622009,40.591733,-123.818296,40.386561,-123.736017,40.337051,-123.458691,40.492451,-123.26232,40.697943,-123.343355,1,19
27,39.9261225,-123.2972392,1034.0,40.131679,-123.377734,39.976132,-123.572867,39.77087,-123.49199,39.720843,-123.217204,39.875819,-123.021996,40.081392,-123.101644,1,19
30,38.07577667,-122.5929945,86.0,38.281709,-122.669492,38.127323,-122.861215,37.921664,-122.784343,37.870106,-122.516923,38.023958,-122.32515,38.2299,-122.400844,1,19
46,35.96110833,-121.5908592,0.0,36.167837,-121.662485,36.014905,-121.850903,35.808426,-121.778909,35.754625,-121.519622,35.907062,-121.331185,36.113795,-121.402051,2,19
47,43.73121233,-124.3257875,0.0,43.936994,-124.413897,43.779145,-124.617545,43.573707,-124.529027,43.525746,-124.238206,43.682937,-124.034441,43.888745,-124.121609,0,19
48,43.11441267,-124.0646117,16.0,43.320147,-124.151149,43.162875,-124.353575,42.957475,-124.266632,42.908987,-123.978589,43.065617,-123.776056,43.271375,-123.861669,0,19
51,41.264275,-123.3084247,414.0,41.470018,-123.390483,41.314298,-123.589293,41.108864,-123.506838,41.058823,-123.226843,41.213943,-123.027955,41.419704,-123.109136,0,19
52,40.64740767,-123.065093,992.0,40.853201,-123.145734,40.697943,-123.343355,40.492451,-123.26232,40.441899,-122.984917,40.596572,-122.787227,40.80238,-122.867005,0,19
53,40.0303475,-122.8259448,1910.0,40.236214,-122.905203,40.081392,-123.101644,39.875819,-123.021996,39.824761,-122.74714,39.97901,-122.550638,40.184889,-122.629048,0,19
54,39.41302683,-122.5908757,493.0,39.618988,-122.668785,39.464577,-122.864056,39.258902,-122.785759,39.20734,-122.513408,39.361191,-122.318085,39.567163,-122.395161,0,19
55,38.79538167,-122.3597852,440.0,39.001459,-122.436379,38.847434,-122.630489,38.641636,-122.553509,38.589573,-122.283622,38.743051,-122.089469,38.949137,-122.165243,0,19
56,38.17734767,-122.1325758,4.0,38.383563,-122.207887,38.2299,-122.400844,38.023958,-122.32515,37.971396,-122.057685,38.124523,-121.864692,38.330746,-121.939197,0,19
57,37.5588625,-121.9091532,222.0,37.765236,-121.983212,37.611912,-122.175025,37.405805,-122.100587,37.352748,-121.835505,37.505548,-121.643662,37.711926,-121.716928,0,19
58,36.939865,-121.6894257,78.0,37.146417,-121.762263,36.99341,-121.952942,36.787118,-121.879728,36.733567,-121.616989,36.886061,-121.426287,37.092617,-121.498345,0,19
59,36.3202955,-121.4733048,573.0,36.527045,-121.54495,36.374334,-121.734503,36.167837,-121.662485,36.113795,-121.402051,36.266005,-121.212481,36.472757,-121.283359,0,19
60,35.70009483,-121.2607045,147.0,35.907062,-121.331185,35.754625,-121.519622,35.547904,-121.448772,35.493371,-121.190606,35.645319,-121.002158,35.852288,-121.071884,0,19
61,44.09442817,-124.2093048,0.0,44.300432,-124.297533,44.142649,-124.50254,43.936994,-124.413897,43.888745,-124.121609,44.04586,-123.916487,44.251889,-124.003763,1,19
62,43.47699917,-123.9477953,449.0,43.682937,-124.034441,43.525746,-124.238206,43.320147,-124.151149,43.271375,-123.861669,43.427915,-123.657798,43.633875,-123.743509,1,19
63,42.85971917,-123.6909528,621.0,43.065617,-123.776056,42.908987,-123.978589,42.703419,-123.893077,42.654129,-123.606355,42.810122,-123.403728,43.016041,-123.487912,1,19
64,42.242511,-123.4386573,1053.0,42.448394,-123.522258,42.292295,-123.723567,42.086734,-123.63956,42.036929,-123.355549,42.192406,-123.154156,42.398308,-123.236854,1,19
65,41.62530117,-123.1907925,1802.0,41.831194,-123.272929,41.675598,-123.473023,41.470018,-123.390483,41.419704,-123.109136,41.574692,-122.908967,41.780601,-122.990217,1,19
28,39.30971367,-123.0584943,369.0,39.515374,-123.137623,39.360239,-123.331612,39.154865,-123.252103,39.104325,-122.979813,39.258902,-122.785759,39.464577,-122.864056,1,19
29,38.69295267,-122.8237788,95.0,38.898739,-122.901576,38.74399,-123.094427,38.538484,-123.016253,38.487433,-122.746419,38.641636,-122.553509,38.847434,-122.630489,1,19
31,37.458124,-122.3660458,270.0,37.664223,-122.441275,37.510177,-122.631878,37.304345,-122.556277,37.252282,-122.291233,37.405805,-122.100587,37.611912,-122.175025,1,19
32,36.83993467,-122.1428408,0.0,37.04622,-122.216832,36.892492,-122.406324,36.686467,-122.331964,36.633901,-122.069255,36.787118,-121.879728,36.99341,-121.952942,1,19
33,36.22114967,-121.9232895,0.0,36.427641,-121.996073,36.274209,-122.184461,36.067972,-122.111312,36.014905,-121.850903,36.167837,-121.662485,36.374334,-121.734503,1,19
34,43.36813583,-124.4410385,0.0,43.573707,-124.529027,43.415786,-124.731332,43.210554,-124.642942,43.162875,-124.353575,43.320147,-124.151149,43.525746,-124.238206,2,19
35,42.75193183,-124.1802048,817.0,42.957475,-124.266632,42.800115,-124.467734,42.594902,-124.380908,42.546693,-124.094289,42.703419,-123.893077,42.908987,-123.978589,2,19
66,41.00801683,-122.9472463,2349.0,41.213943,-123.027955,41.058823,-123.226843,40.853201,-123.145734,40.80238,-122.867005,40.956907,-122.668052,41.162847,-122.747889,1,19
67,40.3905885,-122.7079093,472.0,40.596572,-122.787227,40.441899,-122.984917,40.236214,-122.905203,40.184889,-122.629048,40.338981,-122.4313,40.544976,-122.509761,1,19
68,39.7729475,-122.472677,250.0,39.97901,-122.550638,39.824761,-122.74714,39.618988,-122.668785,39.567163,-122.395161,39.720845,-122.19861,39.926918,-122.275728,1,19
69,39.15502767,-122.2414472,38.0,39.361191,-122.318085,39.20734,-122.513408,39.001459,-122.436379,38.949137,-122.165243,39.102434,-121.969879,39.308605,-122.045689,1,19
70,38.5367645,-122.0141213,62.0,38.743051,-122.089469,38.589573,-122.283622,38.383563,-122.207887,38.330746,-121.939197,38.483681,-121.74501,38.689973,-121.819543,1,19
71,37.91809367,-121.7906035,92.0,38.124523,-121.864692,37.971396,-122.057685,37.765236,-121.983212,37.711926,-121.716928,37.864523,-121.523908,38.070958,-121.597196,1,19
72,37.29895383,-121.570802,1005.0,37.505548,-121.643662,37.352748,-121.835505,37.146417,-121.762263,37.092617,-121.498345,37.244898,-121.306482,37.451495,-121.378555,1,19
73,36.679283,-121.3546265,516.0,36.886061,-121.426287,36.733567,-121.616989,36.527045,-121.54495,36.472757,-121.283359,36.624744,-121.092644,36.831524,-121.16353,1,19
74,36.0590225,-121.1419903,514.0,36.266005,-121.212481,36.113795,-121.402051,35.907062,-121.331185,35.852288,-121.071884,36.004001,-120.882306,36.210984,-120.952035,1,19
75,35.43811267,-120.9328098,0.0,35.645319,-121.002158,35.493371,-121.190606,35.286409,-121.120886,35.231149,-120.863836,35.382611,-120.675387,35.589817,-120.743986,1,19
76,34.81649533,-120.7270025,0.0,35.023945,-120.795235,34.872239,-120.98257,34.665028,-120.913969,34.609284,-120.659136,34.760514,-120.471805,34.967962,-120.5393,1,19
77,34.19411383,-120.5244903,0.0,34.401825,-120.591633,34.250342,-120.777866,34.042863,-120.710357,33.986636,-120.457705,34.137654,-120.271482,34.345363,-120.337899,1,19
78,44.45780117,-124.0915715,0.0,44.664038,-124.179916,44.506316,-124.386299,44.300432,-124.297533,44.251889,-124.003763,44.408935,-123.797268,44.615197,-123.88465,2,19
79,43.83970833,-123.8297368,337.0,44.04586,-123.916487,43.888745,-124.121609,43.682937,-124.034441,43.633875,-123.743509,43.790329,-123.538285,43.996504,-123.62409,2,19
36,42.13576617,-123.9239747,1159.0,42.341306,-124.008881,42.184477,-124.208788,41.97926,-124.123485,41.930525,-123.839567,42.086734,-123.63956,42.292295,-123.723567,2,19
37,41.51956583,-123.6722307,1240.0,41.725126,-123.755654,41.568801,-123.954374,41.363554,-123.870557,41.314298,-123.589293,41.470018,-123.390483,41.675598,-123.473023,2,19
38,40.9032605,-123.4248597,567.0,41.108864,-123.506838,40.953015,-123.704379,40.747717,-123.622009,40.697943,-123.343355,40.853201,-123.145734,41.058823,-123.226843,2,19
39,40.286781,-123.1817515,1050.0,40.492451,-123.26232,40.337051,-123.458691,40.131679,-123.377734,40.081392,-123.101644,40.236214,-122.905203,40.441899,-122.984917,2,19
40,39.67006033,-122.9428007,1310.0,39.875819,-123.021996,39.720843,-123.217204,39.515374,-123.137623,39.464577,-122.864056,39.618988,-122.668785,39.824761,-122.74714,2,19
41,39.05303317,-122.707904,552.0,39.258902,-122.785759,39.104325,-122.979813,38.898739,-122.901576,38.847434,-122.630489,39.001459,-122.436379,39.20734,-122.513408,2,19
80,43.22182167,-123.572601,775.0,43.427915,-123.657798,43.271375,-123.861669,43.065617,-123.776056,43.016041,-123.487912,43.171934,-123.283951,43.378048,-123.36822,2,19
81,42.60406217,-123.320043,724.0,42.810122,-123.403728,42.654129,-123.606355,42.448394,-123.522258,42.398308,-123.236854,42.553671,-123.034145,42.759749,-123.116918,2,19
